date,timestamp,all_oi_usd,excluded_oi_usd,crypto_oi_usd,btc_oi_usd,eth_oi_usd,others_oi_usd,raw_btc_pct,raw_eth_pct,raw_others_pct,excluded_oi_pct,btc_pct,eth_pct,others_pct
2022-07-27,1658880000,378831415.18,0,378831415.18,122419948.93,133597048.34,122814417.91,32.31515234,35.26556748,32.41928018,0,32.31515234,35.26556748,32.41928018
2022-07-28,1658966400,381863942.19,0,381863942.19,118827677.92,136452396.01,126583868.27,31.11780527,35.73324971,33.14894502,0,31.11780527,35.73324971,33.14894502
2022-07-29,1659052800,383851951.82,0,383851951.82,120566818.67,139625148.53,123659984.61,31.4097188,36.37473976,32.21554144,0,31.4097188,36.37473976,32.21554144
2022-07-30,1659139200,14027717849.85,0,14027717849.85,6533109246.86,3630440823.75,3864167779.24,46.57285894,25.88048079,27.54666027,0,46.57285894,25.88048079,27.54666027
2022-07-31,1659225600,13784546447.24,0,13784546447.24,6328194133.72,3675406269.4,3780946044.12,45.90788792,26.66323686,27.42887522,0,45.90788792,26.66323686,27.42887522
2022-08-01,1659312000,13590283238.29,0,13590283238.29,6289531304.02,3535208396.5,3765543537.77,46.279619,26.01276467,27.70761633,0,46.279619,26.01276467,27.70761633
2022-08-02,1659398400,13254659827.52,0,13254659827.52,6156343358.39,3458568629.73,3639747839.41,46.44663415,26.09322815,27.46013769,0,46.44663415,26.09322815,27.46013769
2022-08-03,1659484800,13578341690.76,0,13578341690.76,6312254425.96,3497623041.33,3768464223.48,46.48766815,25.75883802,27.75349383,0,46.48766815,25.75883802,27.75349383
2022-08-04,1659571200,13561833249.33,0,13561833249.33,6179599998.75,3554977709.45,3827255541.13,45.56611105,26.21310588,28.22078307,0,45.56611105,26.21310588,28.22078307
2022-08-05,1659657600,14238826032.4,0,14238826032.4,6131073677.78,4008717539.22,4099034815.4,43.05884252,28.15342733,28.78773015,0,43.05884252,28.15342733,28.78773015
2022-08-06,1659744000,14370128037.47,0,14370128037.47,6232780384.57,4018235938.83,4119111714.07,43.37317224,27.96242266,28.6644051,0,43.37317224,27.96242266,28.6644051
2022-08-07,1659830400,14420471201.64,0,14420471201.64,6259310758.2,3955331530.93,4205828912.5,43.40572975,27.42858729,29.16568296,0,43.40572975,27.42858729,29.16568296
2022-08-08,1659916800,15173546897.97,0,15173546897.97,6685882018.53,4249154021.41,4238510858.03,44.06274989,28.0036965,27.93355361,0,44.06274989,28.0036965,27.93355361
2022-08-09,1660003200,14589355375.25,0,14589355375.25,6584171408.55,3938484612.14,4066699354.56,45.12996797,26.99560406,27.87442796,0,45.12996797,26.99560406,27.87442796
2022-08-10,1660089600,15098339982.19,0,15098339982.19,6404701924.09,4405569411.88,4288068646.22,42.41990796,29.17916418,28.40092786,0,42.41990796,29.17916418,28.40092786
2022-08-11,1660176000,15513868749.99,0,15513868749.99,6576153751.33,4592145961.12,4345569037.54,42.38887061,29.60026306,28.01086633,0,42.38887061,29.60026306,28.01086633
2022-08-12,1660262400,15844041170.89,0,15844041170.89,6710778972.41,4720425741.1,4412836457.39,42.35522301,29.79306662,27.85171037,0,42.35522301,29.79306662,27.85171037
2022-08-13,1660348800,16135569844.24,0,16135569844.24,6862828284.3,4835035670.13,4437705889.8,42.53229573,29.9650754,27.50262887,0,42.53229573,29.9650754,27.50262887
2022-08-14,1660435200,15641154096.47,0,15641154096.47,6716587376.38,4539969800.43,4384596919.67,42.94176334,29.02579805,28.03243861,0,42.94176334,29.02579805,28.03243861
2022-08-15,1660521600,15264754103.63,0,15264754103.63,6510438614.26,4486970679.96,4267344809.42,42.6501375,29.39432008,27.95554242,0,42.6501375,29.39432008,27.95554242
2022-08-16,1660608000,15290871242.65,0,15290871242.65,6538576474.87,4386056246.93,4366238520.85,42.76130752,28.68414871,28.55454376,0,42.76130752,28.68414871,28.55454376
2022-08-17,1660694400,15290238998.71,0,15290238998.71,6840887935.9,4301021832.98,4148329229.83,44.74022896,28.12919951,27.13057154,0,44.74022896,28.12919951,27.13057154
2022-08-18,1660780800,15155298000.99,0,15155298000.99,6790679026.26,4407450714.83,3957168259.9,44.80729462,29.08191389,26.11079148,0,44.80729462,29.08191389,26.11079148
2022-08-19,1660867200,13049318941.8,0,13049318941.8,5963479482.47,3594580155.21,3491259304.12,45.69954577,27.54611311,26.75434112,0,45.69954577,27.54611311,26.75434112
2022-08-20,1660953600,13055100226.97,0,13055100226.97,5987294778.13,3622121475.69,3445683973.15,45.8617297,27.74487681,26.39339349,0,45.8617297,27.74487681,26.39339349
2022-08-21,1661040000,13218646221.85,0,13218646221.85,6058492898.05,3612320002.46,3547833321.35,45.83293021,27.32745806,26.83961173,0,45.83293021,27.32745806,26.83961173
2022-08-22,1661126400,13531164159.31,0,13531164159.31,6039466942.74,3885553502.36,3606143714.21,44.63375709,28.71558911,26.65065379,0,44.63375709,28.71558911,26.65065379
2022-08-23,1661212800,13696224346.13,0,13696224346.13,6082214751.08,3897606937.93,3716402657.11,44.40796673,28.45752844,27.13450483,0,44.40796673,28.45752844,27.13450483
2022-08-24,1661299200,13653043795.17,0,13653043795.17,6062524041.02,3946252944.8,3644266809.34,44.40419391,28.90383276,26.69197334,0,44.40419391,28.90383276,26.69197334
2022-08-25,1661385600,13987929612.11,0,13987929612.11,6088171371.31,4205362588.88,3694395651.93,43.52446388,30.0642247,26.41131143,0,43.52446388,30.0642247,26.41131143
2022-08-26,1661472000,13032103241.89,0,13032103241.89,6075573567.9,3615501087.04,3341028586.95,46.62005399,27.74303595,25.63691006,0,46.62005399,27.74303595,25.63691006
2022-08-27,1661558400,13184472190.65,0,13184472190.65,6145110459.34,3654061562.09,3385300169.21,46.60869522,27.71488695,25.67641784,0,46.60869522,27.71488695,25.67641784
2022-08-28,1661644800,12981684945.69,0,12981684945.69,6048766324.86,3593730252.14,3339188368.69,46.59461657,27.68308018,25.72230325,0,46.59461657,27.68308018,25.72230325
2022-08-29,1661731200,13658270637.64,0,13658270637.64,6199082202.98,3932541727.98,3526646706.67,45.3870213,28.79238399,25.82059472,0,45.3870213,28.79238399,25.82059472
2022-08-30,1661817600,13185992462.56,0,13185992462.56,6099285545.03,3712666658.94,3374040258.59,46.25579426,28.15614122,25.58806452,0,46.25579426,28.15614122,25.58806452
2022-08-31,1661904000,12937794889.82,0,12937794889.82,5815253250.63,3738126019.95,3384415619.24,44.94779288,28.89306912,26.159138,0,44.94779288,28.89306912,26.159138
2022-09-01,1661990400,13402613241.01,0,13402613241.01,6063824075.71,3860543103.85,3478246061.46,45.24359516,28.80440579,25.95199905,0,45.24359516,28.80440579,25.95199905
2022-09-02,1662076800,13180675188.25,0,13180675188.25,5942086478.09,3769007976.1,3469580734.05,45.08180646,28.59495377,26.32323978,0,45.08180646,28.59495377,26.32323978
2022-09-03,1662163200,13722064275.49,0,13722064275.49,6313171339.32,3800474766.48,3608418169.7,46.0074462,27.69608632,26.29646748,0,46.0074462,27.69608632,26.29646748
2022-09-04,1662249600,13833338156.35,0,13833338156.35,6268462771,3843257410.69,3721617974.67,45.31417291,27.78257401,26.90325309,0,45.31417291,27.78257401,26.90325309
2022-09-05,1662336000,14187997018.44,0,14187997018.44,6414385499.97,3929201692.32,3844409826.15,45.20994395,27.69384352,27.09621253,0,45.20994395,27.69384352,27.09621253
2022-09-06,1662422400,13259434495.13,0,13259434495.13,6259192999.92,3625796778.22,3374444716.99,47.20558032,27.3450333,25.44938638,0,47.20558032,27.3450333,25.44938638
2022-09-07,1662508800,13297852955.2,0,13297852955.2,6085644305.86,3757201493.6,3455007155.74,45.76411189,28.25419642,25.98169169,0,45.76411189,28.25419642,25.98169169
2022-09-08,1662595200,13623737001.84,0,13623737001.84,6081296965.83,3937369468.98,3605070567.03,44.63750999,28.90080356,26.46168644,0,44.63750999,28.90080356,26.46168644
2022-09-09,1662681600,14606187815.43,0,14606187815.43,6790236579.95,4031999594.56,3783951640.92,46.48876672,27.60473606,25.90649722,0,46.48876672,27.60473606,25.90649722
2022-09-10,1662768000,14918642046.7,0,14918642046.7,6912711510.48,4190154247.57,3815776288.65,46.33606389,28.08670008,25.57723603,0,46.33606389,28.08670008,25.57723603
