base_asset,oi_usd
SPCX,425030902.93
SKHYNIX,408188510.84
SNDK,356149185.71
MU,186171406.51
NVDA,176767974.4
CRCL,145423818.37
GOOGL,123931885.77
MSTR,115950732.36
INTC,103274379.74
AMD,73941301.3
KORU,71236848.62
TSLA,66514893.23
AVGO,56673571.16
SAMSUNG,51097980.1
SNXX,42392758.79
META,41975244.26
ANTHROPIC,39075156.08
ORCL,37436133.41
MRVL,35039255.31
AAPL,33872111.82
ZHIPU,32060756.77
AMZN,30786484.29
NBIS,27335441.46
OPENAI,26365954.83
MSFT,26254912.19
TQQQ,25527259.44
COIN,24083576.08
HOOD,23738469.94
BABA,23259323.93
AAOI,22077826.8
SOXS,21499354.8
BMNR,19078498.49
LITE,19008958.08
TSM,18887159.9
DELL,18332248.61
UNITREE,17938391.47
RKLB,17421732.07
PLTR,14553240.57
QCOM,13519517.26
BE,13422799
BNC,13298270.32
ARM,13164060.14
GLW,13066831.02
COHR,12989364.33
CBRS,12455715.3
AXTI,10529787.42
AMAT,9957273.77
MINIMAX,9781814.31
WDC,9086380.87
SQQQ,8069638.64
NOK,7982758.11
NFLX,7982095.03
STRC,7473008.19
IBM,6041574.69
CRWD,5570972.25
ZHONGJI,5516406.15
CXMT,5489523.75
MRNA,5284314.56
IREN,5198444.22
INTW,5016345.45
XIAOMI,4765465.51
TTWO,4633988.98
ASML,4600838.49
SMCI,4501618.39
CRDO,4450265.13
ASTS,4286186.01
MVLL,4268536.85
UBER,4254081.15
UVXY,4023325.77
LLY,3908928.24
NOW,3820497.43
TENCENT,3652940.36
APP,3501085.34
ADBE,3267019.54
NVO,3205305.17
BRKB,3052579.6
SOFI,2769428.07
FLNC,2762898.33
CRM,2304511.03
ALAB,2271922.24
GEV,2271310.51
ONDS,2150239.88
HYUNDAI,2139792.58
KUAISHOU,2092258.29
VRT,1950371.52
GME,1807202.43
KLAC,1788280.8
POPMART,1773681.66
PDD,1756276.47
KO,1615329.67
CRCLX,1610757.76
JPM,1594257.8
HIMS,1578876.29
WMT,1548870.31
SNOW,1531776.5
TZA,1519928.48
CSCO,1506189.43
QNTX,1448313.57
NVDAX,1409917.28
LRCX,1358757.97
BX,1331104.07
MEITUAN,1254145.36
HPE,1128499.39
FWDI,1112671.11
MSTRX,1089984.26
GS,1064847.01
GIGADEV,1060685.34
BOT,1021725.74
BSP,1014588.17
RDDT,1005085.19
GOOGLX,1000716.25
PANW,946864.37
CIEN,916067.07
PURR,915091.84
SHAZ,901751.09
RDW,799411.31
WEN,799316.8
TSLAX,797621.2
PENG,789791.04
AAPLX,785657.13
HOODX,777969.61
PYPL,684339.23
V,649527.43
XBI,616842.77
RIVN,613699.82
ZM,606256.96
SONY,591345.99
DIS,553450.91
AMZNX,544384.12
HD,519383.28
KIOXIA,510889.3
DKNG,479380.87
PAYP,393241.52
COINX,362717.82
SAMSUNGEM,324275.63
EBAY,306364.6
INFQ,246665.19
LGELECTRONICS,201483.14
METAX,176552.8
TWLO,155032.56
NAVER,153398.77
HANMI,137322.02
FUTU,125811.04
SOFTBANK,121351.76
LUNR,108024.25
ROK,95586.45
INTCX,48882.96
PLTRX,9920.05
