sample_group,base_asset,first_nonzero_date,last_nonzero_date
xstocks,AAPLX,2026-02-20,2026-09-07
xstocks,AMZNX,2026-03-31,2026-09-07
xstocks,COINX,2026-03-31,2026-09-07
xstocks,CRCLX,2026-02-20,2026-09-07
xstocks,GOOGLX,2026-02-17,2026-09-07
xstocks,HOODX,2026-02-20,2026-09-07
xstocks,INTCX,2026-04-01,2026-09-07
xstocks,METAX,2026-08-06,2026-09-07
xstocks,MSTRX,2026-02-20,2026-09-07
xstocks,NVDAX,2026-02-18,2026-09-07
xstocks,PLTRX,2026-03-31,2026-09-07
xstocks,TSLAX,2025-11-19,2026-09-07
top10_current_oi,CRCL,2026-05-07,2026-09-07
top10_current_oi,GOOGL,2026-04-16,2026-09-07
top10_current_oi,INTC,2026-02-26,2026-09-07
top10_current_oi,MSTR,2026-04-30,2026-09-07
top10_current_oi,MU,2026-03-04,2026-09-07
top10_current_oi,NVDA,2026-04-16,2026-09-07
top10_current_oi,SKHYNIX,2026-06-03,2026-09-07
top10_current_oi,SNDK,2026-04-21,2026-09-07
top10_current_oi,SPCX,2026-05-28,2026-09-07
top10_current_oi,TSLA,2026-04-22,2026-09-07
